[0.022s] Invoking command in '/home/yzz/219_ws/build/go1_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake --build /home/yzz/219_ws/build/go1_description -- -j2 -l2
[0.107s] Invoked command in '/home/yzz/219_ws/build/go1_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake --build /home/yzz/219_ws/build/go1_description -- -j2 -l2
[0.127s] Invoking command in '/home/yzz/219_ws/build/go1_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake --install /home/yzz/219_ws/build/go1_description
[0.144s] -- Install configuration: ""
[0.161s] -- Up-to-date symlink: /home/yzz/219_ws/install/go1_description/share/ament_index/resource_index/package_run_dependencies/go1_description
[0.161s] -- Up-to-date symlink: /home/yzz/219_ws/install/go1_description/share/ament_index/resource_index/parent_prefix_path/go1_description
[0.161s] -- Up-to-date symlink: /home/yzz/219_ws/install/go1_description/share/go1_description/environment/ament_prefix_path.sh
[0.161s] -- Up-to-date symlink: /home/yzz/219_ws/install/go1_description/share/go1_description/environment/ament_prefix_path.dsv
[0.164s] -- Up-to-date symlink: /home/yzz/219_ws/install/go1_description/share/go1_description/environment/path.sh
[0.164s] -- Up-to-date symlink: /home/yzz/219_ws/install/go1_description/share/go1_description/environment/path.dsv
[0.164s] -- Up-to-date symlink: /home/yzz/219_ws/install/go1_description/share/go1_description/local_setup.bash
[0.165s] -- Up-to-date symlink: /home/yzz/219_ws/install/go1_description/share/go1_description/local_setup.sh
[0.166s] -- Up-to-date symlink: /home/yzz/219_ws/install/go1_description/share/go1_description/local_setup.zsh
[0.166s] -- Up-to-date symlink: /home/yzz/219_ws/install/go1_description/share/go1_description/local_setup.dsv
[0.166s] -- Symlinking: /home/yzz/219_ws/install/go1_description/share/go1_description/package.dsv
[0.200s] -- Up-to-date symlink: /home/yzz/219_ws/install/go1_description/share/ament_index/resource_index/packages/go1_description
[0.201s] -- Up-to-date symlink: /home/yzz/219_ws/install/go1_description/share/go1_description/cmake/go1_descriptionConfig.cmake
[0.201s] -- Up-to-date symlink: /home/yzz/219_ws/install/go1_description/share/go1_description/cmake/go1_descriptionConfig-version.cmake
[0.202s] -- Up-to-date symlink: /home/yzz/219_ws/install/go1_description/share/go1_description/package.xml
[0.205s] Invoked command in '/home/yzz/219_ws/build/go1_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake --install /home/yzz/219_ws/build/go1_description
